,,Test Accuracy,Test Accuracy,Test Accuracy,Test F1-Score,Test F1-Score,Test F1-Score,Best Val Accuracy,Best Val Accuracy,Best Val Accuracy
,,mean,std,max,mean,std,max,mean,std,max
Plant,Classification,,,,,,,,,
Apple,10-way,0.5544,,0.5544,0.5574,,0.5574,0.5607,,0.5607
Apple,2-way,0.9729,,0.9729,0.9729,,0.9729,0.9718,,0.9718
Apple,3-way,0.8542,,0.8542,0.868,,0.868,0.8687,,0.8687
Maize,2-way,0.9975,,0.9975,0.9975,,0.9975,0.9971,,0.9971
Maize,3-way,0.8243,,0.8243,0.8327,,0.8327,0.8162,,0.8162
Tomato,10-way,0.602,,0.602,0.6053,,0.6053,0.5873,,0.5873
Tomato,2-way,0.9936,,0.9936,0.9936,,0.9936,0.9926,,0.9926
Tomato,3-way,0.8614,,0.8614,0.8744,,0.8744,0.8579,,0.8579
